STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/06/45,,82,68
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/07/45,,85,71
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/08/45,,89,71
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/09/45,,87,72
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/10/45,,89,72
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/11/45,,85,69
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/12/45,,80,62
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/13/45,,83,60
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/14/45,,88,72
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/15/45,,74,66
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/16/45,,71,60
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/17/45,,60,56
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/18/45,,79,60
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/19/45,,72,62
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/20/45,,80,62
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/21/45,,84,63
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/22/45,,74,55
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/23/45,,72,59
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/24/45,,80,66
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/25/45,,88,68
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/26/45,,84,71
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/27/45,,85,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/28/45,,87,69
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/29/45,,91,59
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",09/30/45,,59,54
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/01/45,,72,57
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/02/45,,70,57
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/03/45,,61,45
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/04/45,,60,41
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/05/45,,66,44
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/06/45,,64,59
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/07/45,,72,54
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/08/45,,74,49
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/09/45,,60,47
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/10/45,,57,42
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/11/45,,62,40
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/12/45,,69,41
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/13/45,,60,47
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/14/45,,56,41
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/15/45,,54,38
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/16/45,,67,40
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/17/45,,77,43
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/18/45,,80,47
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/19/45,,81,51
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/20/45,,70,51
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/21/45,,75,46
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/22/45,,78,54
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/23/45,,67,56
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/24/45,,59,54
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/25/45,,58,53
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/26/45,,62,47
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/27/45,,60,42
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/28/45,,73,38
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/29/45,,81,44
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/30/45,,79,48
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",10/31/45,,79,56
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/01/45,,65,56
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/02/45,,78,56
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/03/45,,72,46
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/04/45,,48,36
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/05/45,,54,32
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/06/45,,72,36
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/07/45,,73,45
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/08/45,,76,63
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/09/45,,77,59
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/10/45,,62,47
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/11/45,,49,45
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/12/45,,58,48
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/13/45,,69,57
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/14/45,,62,41
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/15/45,,50,38
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/16/45,,61,33
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/17/45,,68,41
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/18/45,,63,45
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/19/45,,55,40
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/20/45,,50,37
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/21/45,,53,30
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/22/45,,58,37
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/23/45,,40,29
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/24/45,,43,32
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/25/45,,46,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/26/45,,50,32
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/27/45,,52,30
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/28/45,,48,42
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/29/45,,43,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11/30/45,,41,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/01/45,,43,32
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/02/45,,48,30
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/03/45,,44,38
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/04/45,,44,36
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/05/45,,36,31
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/06/45,,42,36
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/07/45,,48,40
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/08/45,,57,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/09/45,,52,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/10/45,,45,28
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/11/45,,33,24
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/12/45,,31,21
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/13/45,,28,22
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/14/45,,37,27
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/15/45,,34,24
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/16/45,,28,19
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/17/45,,34,16
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/18/45,,33,17
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/19/45,,27,23
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/20/45,,29,21
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/21/45,,27,19
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/22/45,,32,20
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/23/45,,26,16
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/24/45,,36,14
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/25/45,,50,28
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/26/45,,41,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/27/45,,41,31
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/28/45,,36,31
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/29/45,,43,31
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/30/45,,45,30
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12/31/45,,45,35
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/01/46,,35,28
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/02/46,,35,25
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/03/46,,41,24
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/04/46,,45,30
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/05/46,,57,38
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/06/46,,65,54
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/07/46,,64,55
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/08/46,,58,47
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/09/46,,50,42
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/10/46,,56,43
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/11/46,,43,36
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/12/46,,54,37
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/13/46,,45,28
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/14/46,,38,26
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/15/46,,43,25
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/16/46,,27,18
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/17/46,,39,24
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/18/46,,50,32
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/19/46,,48,29
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/20/46,,29,19
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/21/46,,35,24
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/22/46,,33,16
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/23/46,,32,14
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/24/46,,38,18
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/25/46,,35,27
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/26/46,,50,28
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/27/46,,29,16
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/28/46,,42,11
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/29/46,,45,33
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/30/46,,45,37
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",01/31/46,,53,37
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/01/46,,43,30
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/02/46,,47,31
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/03/46,,34,22
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",02/04/46,,38,21
